subjects,isSpeed,jitter,abs_error,R,rt
1,1,45,0.25296,0.25296,0.70166
1,1,15,0.41578,0.41578,0.61988
1,1,15,1.0301,1.0301,0.61604
1,1,15,0.20752,0.20752,0.74884
1,1,30,0.088296,0.088296,0.61785
1,1,15,0.7543,0.7543,0.58062
1,1,45,2.156,-2.156,0.57403
1,1,15,0.47978,0.47978,0.47462
1,0,15,0.083866,-0.083866,0.8322
1,0,45,2.2044,-2.2044,0.98241
1,0,15,0.14008,-0.14008,0.69957
1,0,45,0.26176,0.26176,0.92901
1,0,45,3.1042,-3.1042,0.8178
1,0,15,0.26844,-0.26844,0.87869
1,0,45,0.12146,0.12146,1.5244
1,0,30,0.93764,0.93764,0.97981
1,0,30,0.24372,-0.24372,0.83005
1,0,15,0.2502,-0.2502,0.76489
1,0,30,0.50124,0.50124,1.1796
1,0,45,0.4252,0.4252,0.8581
1,0,30,0.48746,-0.48746,0.87665
1,0,45,0.52296,-0.52296,1.067
1,0,30,0.38284,0.38284,0.93439
1,0,15,0.2811,-0.2811,1.0322
1,0,45,0.098446,-0.098446,0.92771
1,0,45,0.87026,-0.87026,0.99831
1,0,15,0.53956,-0.53956,0.84183
1,0,45,0.20162,-0.20162,1.5617
1,0,30,0.27878,-0.27878,0.93976
1,0,30,0.22992,0.22992,0.95155
1,0,15,0.32278,0.32278,0.81299
1,0,15,0.26242,0.26242,0.72273
1,0,30,0.4376,-0.4376,1.0543
1,0,30,0.021276,0.021276,1.0675
1,0,30,0.67142,-0.67142,0.89567
1,0,15,0.2224,0.2224,0.87799
1,0,15,0.0054312,-0.0054312,0.81452
1,0,45,1.05776,-1.05776,1.0966
1,1,45,1.67592,1.67592,1.0105
1,1,15,0.29796,0.29796,0.65084
1,1,30,0.0048688,-0.0048688,0.55813
1,1,15,0.4628,-0.4628,0.59568
1,1,15,0.5092,0.5092,0.56688
1,1,15,0.155994,0.155994,0.71327
1,1,30,0.053454,-0.053454,0.75105
1,1,30,0.34932,0.34932,0.67373
1,1,15,0.22026,0.22026,0.65633
1,1,30,0.90148,-0.90148,0.62099
1,1,30,0.41248,-0.41248,0.62497
1,1,45,0.4966,-0.4966,0.5986
1,1,15,0.51898,0.51898,0.62979
1,1,45,0.56836,-0.56836,0.67974
1,1,45,0.143344,0.143344,0.54232
