subjects,block_number,trial_number,stim_mean,stim_sd,estimation,abs_estimation_error,rt,R
40,2,35,80,8,87.96419482523963,7.96419482523963,1.06,1.9739119160136722
40,2,36,100,30,103.78860525260625,3.78860525260626,1.106,2.3290108556279914
40,2,37,60,6,65.3666757996763,5.366675799676301,0.895,1.4668247748703485
40,2,38,80,8,70.8064890279724,9.193510972027596,1.587,1.5888938982626029
40,2,39,100,30,86.72909609468995,13.270903905310035,1.381,1.9461963653111511
40,2,40,80,16,69.20430985326301,10.795690146736987,1.107,1.5529410816554488
40,2,41,40,12,50.67479419689946,10.674794196899468,1.169,1.1371397226511002
40,2,42,100,20,86.5805984364736,13.419401563526392,1.837,1.9428640856530957
40,2,43,80,16,71.38596934803634,8.61403065196366,1.41,1.6018974062369793
40,2,44,80,24,67.33349112089536,12.66650887910464,2.212,1.5109600074711316
40,2,45,100,20,72.2674727573931,27.73252724260692,3.21,1.621678296486619
40,2,46,60,18,43.68379569365524,16.31620430634476,0.933,0.9802620830864625
40,2,47,60,12,59.479470871295845,0.5205291287041546,0.956,1.3347162052047936
40,2,48,40,8,31.282611174269675,8.717388825730323,1.928,0.7019801532156541
40,2,49,100,20,86.31900382110905,13.68099617889095,1.036,1.9369939162113248
40,2,50,60,18,74.42066048308112,14.42066048308112,2.517,1.6699957160639134
40,2,51,40,12,66.26048025098116,26.26048025098116,1.286,1.486881699855814
40,2,52,60,12,77.79580795226397,17.79580795226397,1.127,1.745733848163678
40,2,53,80,24,71.57680654483799,8.423193455162007,1.217,1.6061797829191489
40,2,54,100,10,91.2210501172656,8.778949882734409,1.08,2.0469955778653426
40,2,55,60,6,75.28991152976769,15.289911529767709,0.834,1.6895016639381688
40,2,56,40,12,43.05395983789928,3.053959837899285,1.102,0.9661285995335311
40,2,57,100,10,108.35691029323092,8.35691029323091,1.027,2.431523381020732
40,2,58,100,30,92.57821065667083,7.421789343329152,0.853,2.077450189153467
40,2,59,40,4,25.2120923676754,14.787907632324604,1.371,0.5657580297422595
40,2,60,40,8,39.24476382175465,0.7552361782453402,1.577,0.8806504408163636
40,3,1,60,18,75.81446241098618,15.81446241098618,0.923,1.7012725581872408
40,3,2,80,24,85.2990801380707,5.299080138070706,0.767,1.9141068822837857
40,3,3,80,8,74.42066048308112,5.579339516918878,1.218,1.6699957160639134
40,3,4,40,12,26.652372011497405,13.347627988502596,1.195,0.5980778293718748
40,3,5,60,12,85.98803517079068,25.988035170790692,3.587,1.9295669970655485
40,3,6,80,24,83.57003544033432,3.570035440334322,4.7,1.8753072099970924
40,3,7,100,30,93.1349076754026,6.8650923245973985,1.225,2.089942441041489
40,3,8,60,6,44.59706788314888,15.40293211685112,0.917,1.0007558630953275
40,3,9,80,24,60.52155109942896,19.47844890057104,2.735,1.3581004308416094
40,3,10,100,10,77.22444141507629,22.775558584923715,1.366,1.732912413051279
40,3,11,80,8,59.458183479547344,20.541816520452652,1.832,1.3342385172509996
40,3,12,80,16,54.299930992644086,25.700069007355907,2.331,1.2184876021208815
40,3,13,60,18,47.421789343338375,12.578210656661623,1.836,1.0641424644365327
40,3,14,100,20,95.31666938282,4.683330617179976,1.15,2.138901059269389
40,3,15,60,12,32.2356391501488,27.7643608498512,0.901,0.72336605098485
40,3,16,100,20,71.22060929258707,28.77939070741293,1.449,1.5981867352698607
40,3,17,80,24,50.32444484777135,29.67555515222865,1.712,1.1292779016410228
40,3,18,40,12,30.21929115361537,9.780708846384629,1.209,0.6781193077492077
40,3,19,100,30,74.79902507391621,25.200974926083788,1.394,1.6784861976278136
40,3,20,100,10,44.793260484195386,55.20673951580461,2.381,1.0051584147677302
40,3,21,40,12,31.197910373687904,8.802089626312096,2.935,0.7000794716952194
40,3,22,80,16,76.75605356318822,3.2439464368117683,2.534,1.7224018142332627
40,3,23,60,6,50.18612030533313,9.813879694666866,1.025,1.1261739061672007
40,3,24,80,24,75.41288383339234,4.587116166607657,2.304,1.6922611559786132
40,3,25,40,4,35.29511743444388,4.704882565556119,3.898,0.7920205831402708
40,3,26,80,16,74.82490392354238,5.175096076457621,1.436,1.6790669176554487
40,3,27,40,4,47.478874226942246,7.478874226942253,1.089,1.065423446229111
40,3,28,60,12,73.17770193998484,13.177701939984855,1.467,1.6421037915802852
40,3,29,60,6,69.60738122446121,9.607381224461207,1.255,1.5619859820742246
40,3,30,60,18,74.65157740815364,14.651577408153656,1.519,1.6751774797453234
40,3,31,100,20,71.84719229004111,28.15280770995889,1.428,1.6122472248531883
40,3,32,100,10,81.53170664361379,18.4682933563862,1.31,1.82956721875868
40,3,33,40,4,39.1971161865948,0.8028838134052023,1.014,0.8795812303836557
40,3,34,100,10,74.15273973624467,25.84726026375532,1.425,1.6639835885638727
40,3,35,40,12,31.79251634198387,8.20748365801613,1.33,0.713422398422214
40,3,37,60,18,42.43111418965224,17.568885810347766,4.91,0.9521519758702938
40,3,38,100,30,77.49211405909038,22.507885940909617,4.157,1.738918973137005
40,3,39,40,4,31.684635793392644,8.315364206607358,1.549,0.7110015645727896
